1	0.580000	0.550000	0.470000	0.780000	0.540000	0.550000	0.510000	0.510000	0.420000	0.600000	0.630000	0.550000	0.730000	
2	0.610000	0.570000	0.380000	0.940000	0.520000	0.540000	0.515000	0.420000	0.460000	0.590000	0.580000	0.630000	0.760000	
3	0.570000	0.590000	0.210000	1.000000	0.500000	0.530000	0.550000	0.560000	0.530000	0.550000	0.430000	0.585000	0.790000	
4	0.580000	0.630000	0.220000	1.000000	0.500000	0.510000	0.545000	0.395000	0.780000	0.540000	0.440000	0.585000	0.795000	
5	0.550000	0.650000	0.200000	1.000000	0.500000	0.520000	0.690000	0.420000	0.660000	0.545000	0.600000	0.390000	0.800000	
6	0.580000	0.640000	0.190000	1.000000	0.540000	0.490000	0.650000	0.520000	0.610000	0.560000	0.470000	0.530000	0.810000	
7	0.540000	0.630000	0.160000	1.000000	0.540000	0.390000	0.630000	0.450000	0.490000	0.570000	0.430000	0.455000	0.760000	
8	0.510000	0.640000	0.180000	1.000000	0.510000	0.470000	0.550000	0.430000	0.640000	0.590000	0.580000	0.440000	0.680000	
9	0.460000	0.640000	0.140000	1.000000	0.510000	0.460000	0.540000	0.460000	0.530000	0.545000	0.390000	0.480000	0.650000	
10	0.420000	0.630000	0.150000	1.000000	0.390000	0.460000	0.580000	0.400000	0.620000	0.390000	0.350000	0.500000	0.590000	
